redshift,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_total_sfrd,popiii_fraction_of_total_sfrd,j21_lw_popii,j21_lw_popiii,j21_lw_total,mmol_no_feedback_msun,mmol_lw_only_msun,mmol_lw_vcb_mean_msun,matom_msun,popiii_sfrd_peak_halo_mass_msun,popiii_sfrd_p16_halo_mass_msun,popiii_sfrd_median_halo_mass_msun,popiii_sfrd_p84_halo_mass_msun,popiii_sfr_fraction_90pct_halo_mass_msun,popiii_sfr_fraction_50pct_halo_mass_msun,popiii_sfr_fraction_10pct_halo_mass_msun
1.933533060661e+01,2.433140165911e-04,2.628166631483e-04,4.807335858724e-01,5.192664141276e-01,3.604647297908e-01,9.179364690907e-01,1.278401198882e+00,3.598629068421e+05,1.193865461465e+06,3.867765829712e+06,3.463107921863e+07,5.702923697662e+06,2.489168672752e+06,6.428381170715e+06,1.800121929907e+07,1.127972143422e+07,2.407103021221e+07,5.865461483125e+07
1.965669017028e+01,2.054247265480e-04,2.466772909819e-04,4.543769295044e-01,5.456230704956e-01,3.101904464873e-01,8.789790336782e-01,1.189169480166e+00,3.514979823981e+05,1.131506032599e+06,3.666197179340e+06,3.382608833023e+07,5.702923697662e+06,2.359989662260e+06,6.050952606154e+06,1.685828221296e+07,1.108511943573e+07,2.366894834292e+07,5.757716230091e+07
1.998339083576e+01,1.728238151322e-04,2.309206708973e-04,4.280524468130e-01,5.719475531870e-01,2.657655331099e-01,8.390378989218e-01,1.104803432032e+00,3.433210523778e+05,1.072277261528e+06,3.474317685608e+06,3.303918891406e+07,5.702923697662e+06,2.240887732593e+06,5.683268587063e+06,1.569687252515e+07,1.089364241928e+07,2.327166933661e+07,5.652367334065e+07
2.031552137391e+01,1.446486162566e-04,2.153790824789e-04,4.017707992041e-01,5.982292007959e-01,2.266677398295e-01,7.983199282049e-01,1.024987668034e+00,3.353281400482e+05,1.015989629748e+06,3.291582721082e+06,3.226999827281e+07,5.702923697662e+06,2.129802012232e+06,5.349477731256e+06,1.495319041449e+07,1.070528803600e+07,2.287930561348e+07,5.548481038263e+07
2.065317203100e+01,1.205906286494e-04,2.003169270479e-04,3.757799606413e-01,6.242200393587e-01,1.924267907124e-01,7.570866926052e-01,9.495134833176e-01,3.275153432752e+05,9.624986787481e+05,3.118512924242e+06,3.151814088818e+07,3.440213263040e+06,1.997244759394e+06,5.037511618417e+06,1.422007618235e+07,1.051737661537e+07,2.249204659525e+07,5.446026940375e+07
2.099643455324e+01,1.000395665531e-04,1.856628207475e-04,3.501530648670e-01,6.498469351330e-01,1.625727893066e-01,7.155861875613e-01,8.781589768679e-01,3.198788334930e+05,9.116576110586e+05,2.953937240511e+06,3.078324832161e+07,3.440213263040e+06,1.854564769051e+06,4.742941960224e+06,1.348387862950e+07,1.033205008042e+07,2.210976382461e+07,5.345035756477e+07
2.134540221166e+01,8.257073622514e-05,1.714733194308e-04,3.250252638738e-01,6.749747361262e-01,1.366834615205e-01,6.740725007716e-01,8.107559622921e-01,3.124148546721e+05,8.633440174551e+05,2.797187420005e+06,3.006495911503e+07,3.440213263040e+06,1.731824945216e+06,4.462466678990e+06,1.274128232755e+07,1.014983322426e+07,2.173246687369e+07,5.245518291521e+07
2.170016982752e+01,6.786616915464e-05,1.579095660565e-04,3.005910670214e-01,6.994089329786e-01,1.143283360177e-01,6.327292035008e-01,7.470575395185e-01,3.051197222874e+05,8.174059824231e+05,2.648315308987e+06,2.936291869152e+07,3.440213263040e+06,1.624708417175e+06,4.194005111980e+06,1.199084000059e+07,9.970571023837e+06,2.136002721350e+07,5.148242282253e+07
2.206083379801e+01,5.545070270228e-05,1.448277451387e-04,2.768680469618e-01,7.231319530382e-01,9.513831468178e-02,5.918536881626e-01,6.869920028444e-01,2.979898222872e+05,7.737657182524e+05,2.507156780155e+06,2.867677925610e+07,3.440213263040e+06,1.529856620667e+06,3.935652690888e+06,1.123121482488e+07,9.793113135563e+06,2.099285416020e+07,5.052469437811e+07
2.242749212250e+01,4.508651158214e-05,1.323874027200e-04,2.540458509603e-01,7.459541490397e-01,7.875406907899e-02,5.516415445117e-01,6.303956135907e-01,2.910216100634e+05,7.323106531287e+05,2.372750228465e+06,2.800619969665e+07,3.440213263040e+06,1.444359560253e+06,3.684979639286e+06,1.045958443068e+07,9.617306364066e+06,2.063075462307e+07,4.958115219768e+07
2.280024442911e+01,3.648146901934e-05,1.206236478525e-04,2.322105717861e-01,7.677894282139e-01,6.482527393824e-02,5.122103698749e-01,5.770356438132e-01,2.842116094242e+05,6.929010284408e+05,2.244808840587e+06,2.735084548501e+07,3.440213263040e+06,1.366222220622e+06,3.440551764128e+06,9.675304455449e+06,9.444518146805e+06,2.027364319873e+07,4.865175781406e+07
2.317919200184e+01,2.933241293912e-05,1.094369792421e-04,2.113752354035e-01,7.886247645965e-01,5.305963876412e-02,4.738062112722e-01,5.268658500364e-01,2.775564115694e+05,6.554776416628e+05,2.123875160698e+06,2.671038857837e+07,3.440213263040e+06,1.294209130694e+06,3.222775763632e+06,9.097512804538e+06,9.274466874102e+06,1.992119589348e+07,4.773617530537e+07
2.356443780805e+01,2.345727035770e-05,9.892470215599e-05,1.916725958562e-01,8.083274041438e-01,4.318742783976e-02,4.366478021320e-01,4.798352299717e-01,2.710526740686e+05,6.199832043895e+05,2.008879767302e+06,2.608450732103e+07,2.075263132145e+06,1.212089165168e+06,3.019771438094e+06,8.602320837910e+06,9.107334290373e+06,1.957405799754e+07,4.683720733207e+07
