redshift,halo_mass_lower_msun,halo_mass_upper_msun,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_bin_sfr,popiii_fraction_of_bin_sfr,bin_fraction_of_total_sfrd
1.301789130222e+01,1.000000000000e+06,1.000000000000e+07,5.293461988659e-07,9.578595567715e-05,5.495971964531e-03,9.945040280355e-01,1.744779632205e-02
1.301789130222e+01,1.000000000000e+07,1.000000000000e+08,5.912204880573e-04,4.164149910269e-04,5.867404436718e-01,4.132595563282e-01,1.825360899409e-01
1.301789130222e+01,1.000000000000e+08,1.000000000000e+09,2.483478498714e-03,2.627215261048e-05,9.895319670117e-01,1.046803298830e-02,4.546486106621e-01
1.301789130222e+01,1.000000000000e+09,1.000000000000e+10,1.663705145897e-03,6.443133591299e-12,9.999999961272e-01,3.872761698331e-09,3.013850143494e-01
1.301789130222e+01,1.000000000000e+10,1.000000000000e+14,2.427905415149e-04,6.818483461362e-56,1.000000000000e+00,2.808381009746e-52,4.398221087158e-02
1.323425294371e+01,1.000000000000e+05,1.000000000000e+06,1.082742030753e-25,2.624230027184e-09,4.125941779255e-17,1.000000000000e+00,5.174679970559e-07
1.323425294371e+01,1.000000000000e+06,1.000000000000e+07,5.938501945191e-07,1.037231871964e-04,5.692744055734e-03,9.943072559443e-01,2.057012069762e-02
1.323425294371e+01,1.000000000000e+07,1.000000000000e+08,5.785915656057e-04,4.084223636799e-04,5.862040528896e-01,4.137959471104e-01,1.946278015886e-01
1.323425294371e+01,1.000000000000e+08,1.000000000000e+09,2.306151475570e-03,2.367581997256e-05,9.898379506422e-01,1.016204935785e-02,4.594151623987e-01
1.323425294371e+01,1.000000000000e+09,1.000000000000e+10,1.455791608470e-03,4.132830789582e-12,9.999999971611e-01,2.838888996065e-09,2.870653723570e-01
1.323425294371e+01,1.000000000000e+10,1.000000000000e+14,1.943370147247e-04,4.298838415657e-57,1.000000000000e+00,2.212053335154e-53,3.832102549003e-02
1.345421058695e+01,1.000000000000e+05,1.000000000000e+06,3.140578668211e-25,4.375723364812e-09,7.177278832264e-17,1.000000000000e+00,9.407396636494e-07
1.345421058695e+01,1.000000000000e+06,1.000000000000e+07,6.630124230729e-07,1.117719556898e-04,5.896852502393e-03,9.941031474976e-01,2.417246824502e-02
